target,status,file,display_name,organisation_identified,channel,source_url,enlarged,white_on_colour,reason
Tawuniya,done,tawuniya.png,Tawuniya,"The Company for Cooperative Insurance (Tawuniya), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/ar/b/be/%D8%B4%D8%B9%D8%A7%D8%B1_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86%D9%8A%D8%A9_%D9%84%D9%84%D8%AA%D8%A3%D9%85%D9%8A%D9%86_2023.svg,False,False,The 2023 bilingual SVG logo came from the Arabic Wikipedia article. The official site still returns 403.
Tema Oil Refinery (TOR),done,tema-oil-refinery.png,Tema Oil Refinery,"Tema Oil Refinery (TOR), Ghana",official-site,https://torghana.gov.gh/wp-content/uploads/2023/12/tor12221-removebg-preview.png,True,False,"The official site has moved to torghana.gov.gh. The only logo file there is 166px, so it was enlarged about five times and is soft at full size."
The Bank of Sierra Leone,done,bank-of-sierra-leone.png,Bank of Sierra Leone,"Bank of Sierra Leone (central bank), Sierra Leone",wikimedia,https://upload.wikimedia.org/wikipedia/en/3/3a/BANK_OF_SIERRA_LEONE_LOGO.png,True,False,The complete 316px seal from Wikipedia was enlarged to 800px.
The Benefit Company,failed,,Benefit,"The Benefit Company (BENEFIT), Bahrain",,,False,False,"The only Wikipedia logo is 62x73px, which is too small to enlarge legibly. The Commons and Arabic Wikipedia pages have no logo, and benefit.bh and benefitpay.bh are still blocked by Cloudflare (403)."
The Climate Group,done,climate-group.png,Climate Group,"Climate Group (formerly The Climate Group), United Kingdom",official-site,https://www.theclimategroup.org/hubfs/The%20Climate%20Group/the-climate-group-logo.jpg,True,True,"The full lockup only exists as a 254x38 white-on-black JPG, so it was enlarged about three times and placed on black, as it appears in the site header. Commons only has the bare degree-C symbol."
The Duke of Edinburgh's International Award Foundation,done,duke-of-edinburghs-international-award.png,The Duke of Edinburgh's International Award,"The Duke of Edinburgh's International Award Foundation, United Kingdom",official-site,https://intaward.org/wp-content/uploads/2019/10/dofeworldready-rev.png,False,False,"This is the dark-grey version (753px) of the current site-header lockup. It includes the #WorldReady campaign tag beside the logo, as the header does, which makes the Award logo small in the tile. The only colour logo file is cropped."
The Executive Office of HH Sheikh Mohammed (TEO),failed,,The Executive Office,"The Executive Office of His Highness Sheikh Mohammed bin Rashid Al Maktoum, Dubai, UAE",,,False,False,"English and Arabic Wikipedia and Commons have no logo, and theexecutiveoffice.gov.ae still cannot be reached from here (the connection fails)."
The Fishmongers' Company,done,fishmongers-company.png,The Fishmongers' Company,"The Worshipful Company of Fishmongers, United Kingdom",official-site,https://fishmongers.org.uk/wp-content/uploads/2019/08/TFC_Logo.svg,False,True,"This is the official SVG, with gold dolphins and white lettering. It is placed on the site header navy (#002169), taken from the site CSS."
Tullow Oil,done,tullow-oil.png,Tullow Oil,"Tullow Oil plc, United Kingdom (covers Tullow Ghana and Tullow Group Services)",official-site,https://www.tullowoil.com/media/jr3gnvb3/logo-white.svg,False,True,"The current TULLOW wordmark only exists in white. It is placed on the header navy (#182f54, --color-primary in the site CSS)."
UAE Federal Authority for Nuclear Regulation (FANR),done,fanr.png,FANR,"Federal Authority for Nuclear Regulation (FANR), UAE",official-site,https://www.fanr.gov.ae/Style%20Library/FANR/images/FANR-logo.png,True,False,The bilingual header logo is 340px wide and was enlarged to 800px.
UAE Jiu Jitsu Federation,done,uae-jiu-jitsu-federation.png,UAE Jiu-Jitsu Federation,"UAE Jiu-Jitsu Federation (UAEJJF), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D9%84%D9%84%D8%AC%D9%88%D8%AC%D9%8A%D8%AA%D8%B3%D9%88.png/960px-%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_%D9%84%D9%84%D8%AC%D9%88%D8%AC%D9%8A%D8%AA%D8%B3%D9%88.png,False,False,"This is the bilingual falcon roundel from Commons (File:اتحاد الإمارات للجوجيتسو.png), using the 960px thumbnail. uaejjf.org is now a parked domain."
UAE Regulation and Supervision Bureau,failed,,Regulation and Supervision Bureau,"Regulation and Supervision Bureau (RSB), Abu Dhabi, UAE (since merged)",,,False,False,"English and Arabic Wikipedia and Commons have no logo, and rsb.gov.ae still cannot be reached from here."
Uganda Cancer Institute,done,uganda-cancer-institute.png,Uganda Cancer Institute,"Uganda Cancer Institute, Uganda",official-site,https://uci.or.ug/media/uploads/2026/08/uci-logo-stacked_Q2p51xV.png,True,False,This is the stacked logo from the site settings API. It is 333x150px and was enlarged to 800px.
Uganda National Council for Science and Technology (UNCST),done,uncst.png,UNCST,"Uganda National Council for Science and Technology (UNCST), Uganda",official-site,https://www.uncst.go.ug/files/images/UNCST%20Logo.JPG,True,False,"The 166x173 JPG was enlarged about five times and is soft. A vector on nru.uncst.go.ug is a rough auto-trace shared with the RENU logo, so it was not used."
Uganda National Planning Authority,failed,,National Planning Authority,"National Planning Authority (NPA), Uganda",,,False,False,"Wikipedia and Commons have no logo, and npa.go.ug still returns 403 with both user agents (and sometimes fails to connect at all)."
Uganda National Roads Authority,failed,,Uganda National Roads Authority,"Uganda National Roads Authority (UNRA), Uganda (dissolved 2024 to 2025 and merged into the Ministry of Works and Transport)",,,False,False,"Wikipedia and Commons have no UNRA logo, and unra.go.ug still resets the connection or returns 503, so the last logo could not be fetched."
University of Ilorin,done,university-of-ilorin.png,University of Ilorin,"University of Ilorin, Nigeria",official-site,https://www.unilorin.edu.ng/wp-content/uploads/2025/12/cropped-Unilorin_Logo.png,False,False,"This is the 512px crest from the site icon. It trims to 400x478, so it did not need enlarging."
University of New England,done,university-of-new-england.png,University of New England,"University of New England, Maine, USA (confirmed by Will)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/57/University_of_New_England%2C_Maine_logo.png,False,False,"This is the full UNE lockup with the tagline, 623px wide."
Space42,failed,,Space42,"Space42 PLC, UAE (successor to Yahsat)",,,False,False,Wikipedia (English and Arabic) and Commons have no Space42 logo. space42.ai and its Logo.svg are still behind a Cloudflare challenge (403) for every user agent tried.
Yas Marina Circuit,done,yas-marina-circuit.png,Yas Marina Circuit,"Yas Marina Circuit, Abu Dhabi, UAE",official-site,https://www.yasmarinacircuit.com/documents/2642013/2663360/YMC_logo.svg/e35c1312-677b-353b-6a99-063ad44b5c3f,False,True,"The bilingual wordmark only exists in white. It is placed on the site background colour (#0c0c0e, --ymc-bg in the site CSS)."
Yemen LNG Company,done,yemen-lng.png,Yemen LNG,"Yemen LNG Company, Yemen",wikimedia,https://upload.wikimedia.org/wikipedia/en/9/99/YLNG_LOGO_small.jpg,True,False,The bilingual roundel is 312x318px and was enlarged to 800px. It is JPEG-soft.
Zambia Airports,done,zambia-airports.png,Zambia Airports,"Zambia Airports Corporation Limited, Zambia",official-site,https://www.zacl.co.zm/application/files/9916/5960/6873/newlogo.jpeg,True,False,"This is the full-colour logo (384x285) from the contact pages, enlarged to 800px. The header versions are tiny and white."
Zamil Industrial,done,senaat-saudi-arabia.png,SENAAT,"Advanced Building Industries Co. (SENAAT), formerly Zamil Industrial Investment Co., Saudi Arabia",official-site,https://senaat.com/assets/ColoredLogoIcon-Dy6dpt1F.js,False,False,"Zamil Industrial rebranded as SENAAT in October 2025. This is the colour English SENAAT wordmark, taken from the SVG embedded in the site's ColoredLogoIcon script. It is named senaat-saudi-arabia because the existing out/logos/senaat.png is a different company (Abu Dhabi's SENAAT General Holding Corporation). Will should confirm that the new name should replace the old Zamil mark."
