match_name,decision,note
Uganda Electricity Generation Company,source,
Uganda National Council for Science and Technology (UNCST),source,
Uganda National Oil Company,source,
Uganda National Planning Authority,source,
Uganda National Roads Authority,source,
Umbutfo Swaziland Defense Force,source,
Unilever,source,
Unique Group,no logo: Will unticked,UAE offshore services group
Unique Shift,no logo: individual or small local firm,
United Arab Bank,source,
United Gulf Bank,source,Bahrain bank; Will ticked 24 Sep 2026
United Kingdom Permanent Representation to the European Union (UKRep),alias added,fcdo.png
United for Global Mental Health,no logo: Will unticked,UK charity
Unity Resources Group,no logo: Will unticked,security firm
Universidad Técnica Federico Santa María,source,
University of Buraimi,source,
University of Gibraltar,source,
University of Ilorin,source,
University of Jos,source,
University of Luxembourg,source,
University of New England,source,UK entry; UNE is Australian or American; Will ticked 24 Sep 2026
University of Salford,source,
Urban Transport Group,source,
Utilities Centre for Competences Development (UCCD),no logo: individual or small local firm,
VAMED,source,
VCE Technology Solutions,no logo: individual or small local firm,
VPOPA,source,same office as above; Will ticked 24 Sep 2026
VTTI,source,
Vantage,no logo: individual or small local firm,
Vassallo Builders Group,no logo: Will unticked,Malta builder
Venture Capital Trust Fund,source,Ghana government fund; Will ticked 24 Sep 2026
Venture Setops Hellas,no logo: individual or small local firm,
Verenigde Tankrederij Spain SAU,no logo: individual or small local firm,
Veyseloglu Group of Companies,no logo: Will unticked,Azerbaijani group
Vice President's Office for Political Affairs (VPOPA),source,UAE; Will ticked 24 Sep 2026
Videology,no logo: brand no longer trades,bought by Amobee
Vinsys IT Consultancy,no logo: individual or small local firm,
Virginia Department of Social Services,source,
Virginia Garcia Memorial Health Center,no logo: individual or small local firm,
Viva,alias added,stc.png
Vorwerk,source,
Voxbone,no logo: brand no longer trades,bought by Bandwidth
WABCO,no logo: brand no longer trades,bought by ZF
Wartung for Building Contracting,no logo: individual or small local firm,
Watts Gallery,source,
We Communications,source,
Webcorgroup,no logo: individual or small local firm,
Webedia Arabia,no logo: Will unticked,media firm
Webtel.Mobi,no logo: individual or small local firm,
Wekalah Tawasol Muhtaref for Media and Advertising,no logo: individual or small local firm,
West Coast Asset Management,no logo: individual or small local firm,
West Northamptonshire Development Corporation,no logo: individual or small local firm,
Western Governors University,source,
Westin Hotels and Resorts,source,
Weststar Aviation Services,source,Malaysian helicopter operator; Will ticked 24 Sep 2026
What.digital,no logo: individual or small local firm,
WilmerHale,source,
Wine in Moderation (WIM),source,EU wine sector body; Will ticked 24 Sep 2026
World Food Programme (WFP),source,
World Intellectual Property Organization (WIPO),source,
World Meteorological Organization (WMO),source,
World N Traveland,no logo: individual or small local firm,
World Resources Institute,source,
World Travel and Tourism Council (WTTC),source,
Worldcocoa,no logo: individual or small local firm,
Worldremit Services,source,WorldRemit
XM,source,
XXCWILSON,no logo: individual or small local firm,
Xeretec,no logo: individual or small local firm,
YASREF,source,Aramco refinery joint venture: own logo or Aramco?; Will ticked 24 Sep 2026
Yahsat,source,successor Space42
Yas Marina Circuit,source,
Yas Viceroy Abu Dhabi,source,"now W Abu Dhabi, a Marriott hotel; Will ticked 24 Sep 2026"
Yayasan Rakyat 1Malaysia,no logo: individual or small local firm,
Yemen LNG Company,source,
Zabeel,no logo: individual or small local firm,
Zambia Airports,source,
Zambia Office of the Auditor General,source,
Zamilindustrial,source,Zamil Industrial
Zanzibar Legal Affairs Public Service,no logo: individual or small local firm,
Zaya Living Real Estate Development,no logo: individual or small local firm,
Zeobit,no logo: individual or small local firm,
bwin.party services Austria,no logo: brand no longer trades,now Entain
eShare,no logo: individual or small local firm,
inRiver,source,Swedish software firm; Will ticked 24 Sep 2026
scoutbee,no logo: Will unticked,German procurement software
shaikha ahmed alrohayem,no logo: individual or small local firm,
